Country,Sex,Date,Value
Australia,Females,1993-Q2,55.2137
Australia,Females,1993-Q3,55.29581
Australia,Females,1993-Q4,55.91669
Australia,Females,1994-Q1,56.19918
Australia,Females,1994-Q2,56.45393
Australia,Females,1994-Q3,57.25135
Australia,Females,1994-Q4,57.47805
Australia,Females,1995-Q1,57.91452
Australia,Females,1995-Q2,58.85447
Australia,Females,1995-Q3,58.99854
Australia,Females,1995-Q4,59.31981
Australia,Females,1996-Q1,59.29274
Australia,Females,1996-Q2,59.00214
Australia,Females,1996-Q3,58.78904
Australia,Females,1996-Q4,58.76837
Australia,Females,1997-Q1,58.93779
Australia,Females,1997-Q2,58.69136
Australia,Females,1997-Q3,58.75446
Australia,Females,1997-Q4,58.9271
Australia,Females,1998-Q1,58.93243
Australia,Females,1998-Q2,59.29567
Australia,Females,1998-Q3,59.63991
Australia,Females,1998-Q4,59.75732
Australia,Females,1999-Q1,59.49931
Australia,Females,1999-Q2,59.59968
Australia,Females,1999-Q3,59.84044
Australia,Females,1999-Q4,60.4706
Australia,Females,2000-Q1,60.38943
Australia,Females,2000-Q2,61.24039
Australia,Females,2000-Q3,62.06223
Australia,Females,2000-Q4,61.3582
Australia,Females,2001-Q1,61.42272
Australia,Females,2001-Q2,61.94061
Australia,Females,2001-Q3,61.67035
Australia,Females,2001-Q4,61.68051
Australia,Females,2002-Q1,61.75923
Australia,Females,2002-Q2,61.57542
Australia,Females,2002-Q3,62.12274
Australia,Females,2002-Q4,62.64423
Australia,Females,2003-Q1,63.21849
Australia,Females,2003-Q2,63.10135
Australia,Females,2003-Q3,62.82929
Australia,Females,2003-Q4,62.71136
Australia,Females,2004-Q1,62.50147
Australia,Females,2004-Q2,62.82122
Australia,Females,2004-Q3,62.98935
Australia,Females,2004-Q4,63.70095
Australia,Females,2005-Q1,64.11051
Australia,Females,2005-Q2,64.53826
Australia,Females,2005-Q3,64.8216
Australia,Females,2005-Q4,64.83095
Australia,Females,2006-Q1,64.87384
Australia,Females,2006-Q2,65.34751
Australia,Females,2006-Q3,65.81721
Australia,Females,2006-Q4,65.74151
Australia,Females,2007-Q1,65.74126
Australia,Females,2007-Q2,65.90767
Australia,Females,2007-Q3,66.12201
Australia,Females,2007-Q4,66.49366
Australia,Females,2008-Q1,66.61569
Australia,Females,2008-Q2,66.82866
Australia,Females,2008-Q3,66.73705
Australia,Females,2008-Q4,66.67814
Australia,Females,2009-Q1,66.75391
Australia,Females,2009-Q2,66.48104
Australia,Females,2009-Q3,65.92367
Australia,Females,2009-Q4,66.075
Australia,Females,2010-Q1,65.99428
Australia,Females,2010-Q2,65.89557
Australia,Females,2010-Q3,66.22147
Australia,Females,2010-Q4,66.49671
Australia,Females,2011-Q1,66.60448
Australia,Females,2011-Q2,66.6385
Australia,Females,2011-Q3,66.80773
Australia,Females,2011-Q4,66.57976
Australia,Females,2012-Q1,66.62058
Australia,Females,2012-Q2,66.58869
Australia,Females,2012-Q3,66.64213
Australia,Females,2012-Q4,66.44746
Australia,Females,2013-Q1,66.69314
Australia,Females,2013-Q2,66.4989
Australia,Females,2013-Q3,66.32516
Australia,Females,2013-Q4,66.19335
Australia,Females,2014-Q1,66.15935
Australia,Females,2014-Q2,66.10096
Australia,Females,2014-Q3,66.09783
Australia,Females,2014-Q4,65.94221
Australia,Females,2015-Q1,66.30987
Australia,Females,2015-Q2,66.63151
Australia,Females,2015-Q3,66.85195
Australia,Females,2015-Q4,67.41055
Australia,Females,2016-Q1,67.42262
Australia,Females,2016-Q2,67.39655
Australia,Females,2016-Q3,67.34751
Australia,Females,2016-Q4,67.30012
Australia,Females,2017-Q1,67.42455
Australia,Females,2017-Q2,67.82949
Australia,Females,2017-Q3,68.39001
Australia,Females,2017-Q4,68.83747
Australia,Females,2018-Q1,69.02732
Australia,Females,2018-Q2,69.12719
Australia,Females,2018-Q3,69.14236
Australia,Females,2018-Q4,69.464
Australia,Females,2019-Q1,69.61013
Australia,Females,2019-Q2,69.74788
Australia,Females,2019-Q3,70.12492
Australia,Females,2019-Q4,70.31967
Australia,Females,2020-Q1,70.47056
Australia,Females,2020-Q2,66.10735
Australia,Females,2020-Q3,68.11539
Australia,Females,2020-Q4,69.50695
Australia,Females,2021-Q1,70.54488
Australia,Females,2021-Q2,71.47704
Australia,Females,2021-Q3,70.9049
Australia,Females,2021-Q4,71.52897
Australia,Females,2022-Q1,73.43
Australia,Females,2022-Q2,73.74005
Australia,Females,2022-Q3,74.01723
Australia,Females,2022-Q4,74.01556
Australia,Females,2023-Q1,73.9118
Australia,Females,2023-Q2,74.25187
Australia,Females,2023-Q3,74.05682
Australia,Females,2023-Q4,74.24451
Australia,Males,1978-Q2,82.27335
Australia,Males,1978-Q3,81.84587
Australia,Males,1978-Q4,81.81712
Australia,Males,1979-Q1,81.84909
Australia,Males,1979-Q2,81.96444
Australia,Males,1979-Q3,82.08414
Australia,Males,1979-Q4,82.18085
Australia,Males,1980-Q1,82.06035
Australia,Males,1980-Q2,82.21841
Australia,Males,1980-Q3,82.22618
Australia,Males,1980-Q4,82.35249
Australia,Males,1981-Q1,82.50313
Australia,Males,1981-Q2,82.5471
Australia,Males,1981-Q3,82.28902
Australia,Males,1981-Q4,81.66882
Australia,Males,1982-Q1,81.71188
Australia,Males,1982-Q2,81.15665
Australia,Males,1982-Q3,80.20281
Australia,Males,1982-Q4,78.83997
Australia,Males,1983-Q1,77.37004
Australia,Males,1983-Q2,76.65614
Australia,Males,1983-Q3,76.54742
Australia,Males,1983-Q4,76.89257
Australia,Males,1984-Q1,77.21609
Australia,Males,1984-Q2,77.53271
Australia,Males,1984-Q3,77.42442
Australia,Males,1984-Q4,77.24322
Australia,Males,1985-Q1,77.17977
Australia,Males,1985-Q2,77.3019
Australia,Males,1985-Q3,77.73659
Australia,Males,1985-Q4,78.23704
Australia,Males,1986-Q1,78.31474
Australia,Males,1986-Q2,78.50024
Australia,Males,1986-Q3,78.0223
Australia,Males,1986-Q4,77.76312
Australia,Males,1987-Q1,77.60779
Australia,Males,1987-Q2,77.7054
Australia,Males,1987-Q3,77.83736
Australia,Males,1987-Q4,77.5154
Australia,Males,1988-Q1,78.30295
Australia,Males,1988-Q2,78.41895
Australia,Males,1988-Q3,78.46819
Australia,Males,1988-Q4,78.79348
Australia,Males,1989-Q1,79.28567
Australia,Males,1989-Q2,79.77178
Australia,Males,1989-Q3,80.05046
Australia,Males,1989-Q4,80.07831
Australia,Males,1990-Q1,79.84076
Australia,Males,1990-Q2,79.63514
Australia,Males,1990-Q3,79.16852
Australia,Males,1990-Q4,78.16805
Australia,Males,1991-Q1,76.94219
Australia,Males,1991-Q2,75.95101
Australia,Males,1991-Q3,75.08868
Australia,Males,1991-Q4,74.85796
Australia,Males,1992-Q1,74.56713
Australia,Males,1992-Q2,74.25813
Australia,Males,1992-Q3,74.12453
Australia,Males,1992-Q4,73.53971
Australia,Males,1993-Q1,73.6244
Australia,Males,1993-Q2,73.50446
Australia,Males,1993-Q3,73.62273
Australia,Males,1993-Q4,74.0839
Australia,Males,1994-Q1,74.34528
Australia,Males,1994-Q2,74.74393
Australia,Males,1994-Q3,75.41088
Australia,Males,1994-Q4,75.65591
Australia,Males,1995-Q1,76.17962
Australia,Males,1995-Q2,76.30229
Australia,Males,1995-Q3,76.54224
Australia,Males,1995-Q4,76.46551
Australia,Males,1996-Q1,76.42313
Australia,Males,1996-Q2,76.46261
Australia,Males,1996-Q3,76.27013
Australia,Males,1996-Q4,76.07377
Australia,Males,1997-Q1,75.89351
Australia,Males,1997-Q2,75.75631
Australia,Males,1997-Q3,75.5671
Australia,Males,1997-Q4,76.01032
Australia,Males,1998-Q1,76.08526
Australia,Males,1998-Q2,76.12837
Australia,Males,1998-Q3,76.08514
Australia,Males,1998-Q4,76.29938
Australia,Males,1999-Q1,76.46818
Australia,Males,1999-Q2,76.51022
Australia,Males,1999-Q3,76.67083
Australia,Males,1999-Q4,76.63486
Australia,Males,2000-Q1,76.64065
Australia,Males,2000-Q2,76.98203
Australia,Males,2000-Q3,77.2522
Australia,Males,2000-Q4,76.74969
Australia,Males,2001-Q1,76.39518
Australia,Males,2001-Q2,76.34085
Australia,Males,2001-Q3,76.40766
Australia,Males,2001-Q4,76.27492
Australia,Males,2002-Q1,76.32983
Australia,Males,2002-Q2,76.59841
Australia,Males,2002-Q3,76.72755
Australia,Males,2002-Q4,76.91547
Australia,Males,2003-Q1,77.1019
Australia,Males,2003-Q2,76.61482
Australia,Males,2003-Q3,76.89468
Australia,Males,2003-Q4,77.44109
Australia,Males,2004-Q1,77.48927
Australia,Males,2004-Q2,77.5456
Australia,Males,2004-Q3,77.39446
Australia,Males,2004-Q4,77.89368
Australia,Males,2005-Q1,78.2476
Australia,Males,2005-Q2,78.62637
Australia,Males,2005-Q3,78.62448
Australia,Males,2005-Q4,78.4024
Australia,Males,2006-Q1,78.40963
Australia,Males,2006-Q2,78.5994
Australia,Males,2006-Q3,79.02895
Australia,Males,2006-Q4,79.13315
Australia,Males,2007-Q1,79.23062
Australia,Males,2007-Q2,79.63643
Australia,Males,2007-Q3,79.65097
Australia,Males,2007-Q4,79.62397
Australia,Males,2008-Q1,79.85493
Australia,Males,2008-Q2,79.76717
Australia,Males,2008-Q3,79.62828
Australia,Males,2008-Q4,79.32397
Australia,Males,2009-Q1,78.1629
Australia,Males,2009-Q2,77.592
Australia,Males,2009-Q3,77.54361
Australia,Males,2009-Q4,77.76688
Australia,Males,2010-Q1,78.21545
Australia,Males,2010-Q2,78.22822
Australia,Males,2010-Q3,78.69283
Australia,Males,2010-Q4,79.17818
Australia,Males,2011-Q1,79.19152
Australia,Males,2011-Q2,78.67501
Australia,Males,2011-Q3,78.46409
Australia,Males,2011-Q4,78.33192
Australia,Males,2012-Q1,78.29748
Australia,Males,2012-Q2,78.21411
Australia,Males,2012-Q3,77.96449
Australia,Males,2012-Q4,78.04398
Australia,Males,2013-Q1,77.9678
Australia,Males,2013-Q2,77.68244
Australia,Males,2013-Q3,77.44347
Australia,Males,2013-Q4,77.11493
Australia,Males,2014-Q1,77.0348
Australia,Males,2014-Q2,76.99014
Australia,Males,2014-Q3,76.98206
Australia,Males,2014-Q4,77.04649
Australia,Males,2015-Q1,77.41885
Australia,Males,2015-Q2,77.47077
Australia,Males,2015-Q3,77.4417
Australia,Males,2015-Q4,77.67101
Australia,Males,2016-Q1,77.73685
Australia,Males,2016-Q2,77.51098
Australia,Males,2016-Q3,77.41252
Australia,Males,2016-Q4,77.34142
Australia,Males,2017-Q1,77.48634
Australia,Males,2017-Q2,77.82589
Australia,Males,2017-Q3,78.033
Australia,Males,2017-Q4,78.15783
Australia,Males,2018-Q1,78.33762
Australia,Males,2018-Q2,78.11806
Australia,Males,2018-Q3,78.44497
Australia,Males,2018-Q4,78.50204
Australia,Males,2019-Q1,78.58717
Australia,Males,2019-Q2,78.66104
Australia,Males,2019-Q3,78.83251
Australia,Males,2019-Q4,78.5208
Australia,Males,2020-Q1,78.59852
Australia,Males,2020-Q2,74.91325
Australia,Males,2020-Q3,76.06448
Australia,Males,2020-Q4,77.61307
Australia,Males,2021-Q1,78.19427
Australia,Males,2021-Q2,78.83028
Australia,Males,2021-Q3,78.76797
Australia,Males,2021-Q4,79.12487
Australia,Males,2022-Q1,80.04258
Australia,Males,2022-Q2,80.58797
Australia,Males,2022-Q3,81.08564
Australia,Males,2022-Q4,81.10298
Australia,Males,2023-Q1,81.12406
Australia,Males,2023-Q2,80.85411
Australia,Males,2023-Q3,81.1189
Australia,Males,2023-Q4,80.75065
Australia,All persons,1978-Q2,64.51743
Australia,All persons,1978-Q3,64.36272
Australia,All persons,1978-Q4,64.21304
Australia,All persons,1979-Q1,64.18033
Australia,All persons,1979-Q2,64.17467
Australia,All persons,1979-Q3,64.24846
Australia,All persons,1979-Q4,64.64888
Australia,All persons,1980-Q1,64.90046
Australia,All persons,1980-Q2,65.1198
Australia,All persons,1980-Q3,65.32882
Australia,All persons,1980-Q4,65.2066
Australia,All persons,1981-Q1,65.29118
Australia,All persons,1981-Q2,65.46525
Australia,All persons,1981-Q3,65.41008
Australia,All persons,1981-Q4,65.05112
Australia,All persons,1982-Q1,65.01968
Australia,All persons,1982-Q2,64.55569
Australia,All persons,1982-Q3,63.94346
Australia,All persons,1982-Q4,63.04081
Australia,All persons,1983-Q1,62.13141
Australia,All persons,1983-Q2,61.62423
Australia,All persons,1983-Q3,61.73423
Australia,All persons,1983-Q4,62.06753
Australia,All persons,1984-Q1,62.36116
Australia,All persons,1984-Q2,62.81827
Australia,All persons,1984-Q3,62.94272
Australia,All persons,1984-Q4,62.95208
Australia,All persons,1985-Q1,63.16693
Australia,All persons,1985-Q2,63.32549
Australia,All persons,1985-Q3,63.89678
Australia,All persons,1985-Q4,64.38287
Australia,All persons,1986-Q1,64.76785
Australia,All persons,1986-Q2,65.33916
Australia,All persons,1986-Q3,65.10748
Australia,All persons,1986-Q4,65.11
Australia,All persons,1987-Q1,65.03994
Australia,All persons,1987-Q2,65.20239
Australia,All persons,1987-Q3,65.39418
Australia,All persons,1987-Q4,65.34438
Australia,All persons,1988-Q1,66.03426
Australia,All persons,1988-Q2,66.23841
Australia,All persons,1988-Q3,66.51678
Australia,All persons,1988-Q4,66.87225
Australia,All persons,1989-Q1,67.51358
Australia,All persons,1989-Q2,68.06889
Australia,All persons,1989-Q3,68.46991
Australia,All persons,1989-Q4,68.68247
Australia,All persons,1990-Q1,68.68749
Australia,All persons,1990-Q2,68.69854
Australia,All persons,1990-Q3,68.37523
Australia,All persons,1990-Q4,67.66335
Australia,All persons,1991-Q1,66.73814
Australia,All persons,1991-Q2,66.13335
Australia,All persons,1991-Q3,65.51746
Australia,All persons,1991-Q4,65.17075
Australia,All persons,1992-Q1,65.15183
Australia,All persons,1992-Q2,64.91177
Australia,All persons,1992-Q3,64.9931
Australia,All persons,1992-Q4,64.54497
Australia,All persons,1993-Q1,64.58073
Australia,All persons,1993-Q2,64.4087
Australia,All persons,1993-Q3,64.50813
Australia,All persons,1993-Q4,65.04655
Australia,All persons,1994-Q1,65.3183
Australia,All persons,1994-Q2,65.64531
Australia,All persons,1994-Q3,66.37617
Australia,All persons,1994-Q4,66.61079
Australia,All persons,1995-Q1,67.09085
Australia,All persons,1995-Q2,67.6199
Australia,All persons,1995-Q3,67.81093
Australia,All persons,1995-Q4,67.92947
Australia,All persons,1996-Q1,67.89281
Australia,All persons,1996-Q2,67.76694
Australia,All persons,1996-Q3,67.56136
Australia,All persons,1996-Q4,67.44813
Australia,All persons,1997-Q1,67.43944
Australia,All persons,1997-Q2,67.24601
Australia,All persons,1997-Q3,67.18062
Australia,All persons,1997-Q4,67.48602
Australia,All persons,1998-Q1,67.52511
Australia,All persons,1998-Q2,67.72703
Australia,All persons,1998-Q3,67.87538
Australia,All persons,1998-Q4,68.03883
Australia,All persons,1999-Q1,67.99296
Australia,All persons,1999-Q2,68.06274
Australia,All persons,1999-Q3,68.26158
Australia,All persons,1999-Q4,68.55605
Australia,All persons,2000-Q1,68.51765
Australia,All persons,2000-Q2,69.11333
Australia,All persons,2000-Q3,69.65781
Australia,All persons,2000-Q4,69.05225
Australia,All persons,2001-Q1,68.90581
Australia,All persons,2001-Q2,69.13624
Australia,All persons,2001-Q3,69.03419
Australia,All persons,2001-Q4,68.97279
Australia,All persons,2002-Q1,69.04032
Australia,All persons,2002-Q2,69.08318
Australia,All persons,2002-Q3,69.42069
Australia,All persons,2002-Q4,69.77398
Australia,All persons,2003-Q1,70.15446
Australia,All persons,2003-Q2,69.85229
Australia,All persons,2003-Q3,69.85624
Australia,All persons,2003-Q4,70.07003
Australia,All persons,2004-Q1,69.98952
Australia,All persons,2004-Q2,70.17767
Australia,All persons,2004-Q3,70.18633
Australia,All persons,2004-Q4,70.79104
Australia,All persons,2005-Q1,71.17272
Australia,All persons,2005-Q2,71.57604
Australia,All persons,2005-Q3,71.71698
Australia,All persons,2005-Q4,71.61048
Australia,All persons,2006-Q1,71.63658
Australia,All persons,2006-Q2,71.96867
Australia,All persons,2006-Q3,72.41856
Australia,All persons,2006-Q4,72.43249
Australia,All persons,2007-Q1,72.48205
Australia,All persons,2007-Q2,72.76994
Australia,All persons,2007-Q3,72.88502
Australia,All persons,2007-Q4,73.0576
Australia,All persons,2008-Q1,73.23566
Australia,All persons,2008-Q2,73.30044
Australia,All persons,2008-Q3,73.18707
Australia,All persons,2008-Q4,73.00632
Australia,All persons,2009-Q1,72.46387
Australia,All persons,2009-Q2,72.0421
Australia,All persons,2009-Q3,71.73893
Australia,All persons,2009-Q4,71.9246
Australia,All persons,2010-Q1,72.10733
Australia,All persons,2010-Q2,72.06374
Australia,All persons,2010-Q3,72.45757
Australia,All persons,2010-Q4,72.83598
Australia,All persons,2011-Q1,72.89466
Australia,All persons,2011-Q2,72.65315
Australia,All persons,2011-Q3,72.62977
Australia,All persons,2011-Q4,72.44875
Australia,All persons,2012-Q1,72.45185
Australia,All persons,2012-Q2,72.39437
Australia,All persons,2012-Q3,72.29629
Australia,All persons,2012-Q4,72.23728
Australia,All persons,2013-Q1,72.32046
Australia,All persons,2013-Q2,72.07974
Australia,All persons,2013-Q3,71.87124
Australia,All persons,2013-Q4,71.63683
Australia,All persons,2014-Q1,71.57824
Australia,All persons,2014-Q2,71.5256
Australia,All persons,2014-Q3,71.51785
Australia,All persons,2014-Q4,71.4695
Australia,All persons,2015-Q1,71.83756
Australia,All persons,2015-Q2,72.02323
Australia,All persons,2015-Q3,72.11731
Australia,All persons,2015-Q4,72.50954
Australia,All persons,2016-Q1,72.54677
Australia,All persons,2016-Q2,72.42009
Australia,All persons,2016-Q3,72.34532
Australia,All persons,2016-Q4,72.28546
Australia,All persons,2017-Q1,72.42043
Australia,All persons,2017-Q2,72.79383
Australia,All persons,2017-Q3,73.17873
Australia,All persons,2017-Q4,73.46568
Australia,All persons,2018-Q1,73.65137
Australia,All persons,2018-Q2,73.59385
Australia,All persons,2018-Q3,73.76476
Australia,All persons,2018-Q4,73.95529
Australia,All persons,2019-Q1,74.07211
Australia,All persons,2019-Q2,74.17899
Australia,All persons,2019-Q3,74.45372
Australia,All persons,2019-Q4,74.39613
Australia,All persons,2020-Q1,74.51031
Australia,All persons,2020-Q2,70.48452
Australia,All persons,2020-Q3,72.06718
Australia,All persons,2020-Q4,73.53712
Australia,All persons,2021-Q1,74.34871
Australia,All persons,2021-Q2,75.13473
Australia,All persons,2021-Q3,74.81687
Australia,All persons,2021-Q4,75.30873
Australia,All persons,2022-Q1,76.72079
Australia,All persons,2022-Q2,77.1483
Australia,All persons,2022-Q3,77.53556
Australia,All persons,2022-Q4,77.54419
Australia,All persons,2023-Q1,77.50408
Australia,All persons,2023-Q2,77.54178
Australia,All persons,2023-Q3,77.57664
Australia,All persons,2023-Q4,77.48803
Austria,Females,1999-Q1,59.55936
Austria,Females,1999-Q2,59.5759
Austria,Females,1999-Q3,59.69455
Austria,Females,1999-Q4,59.43389
Austria,Females,2000-Q1,59.55188
Austria,Females,2000-Q2,59.37652
Austria,Females,2000-Q3,59.65376
Austria,Females,2000-Q4,59.89149
Austria,Females,2001-Q1,59.68831
Austria,Females,2001-Q2,60.21972
Austria,Females,2001-Q3,59.996
Austria,Females,2001-Q4,60.62844
Austria,Females,2002-Q1,61.01962
Austria,Females,2002-Q2,61.18978
Austria,Females,2002-Q3,61.25723
Austria,Females,2002-Q4,61.52761
Austria,Females,2003-Q1,61.25547
Austria,Females,2003-Q2,61.67548
Austria,Females,2003-Q3,61.81501
Austria,Females,2003-Q4,61.51416
Austria,Females,2004-Q1,59.35184
Austria,Females,2004-Q2,59.47239
Austria,Females,2004-Q3,59.81495
Austria,Females,2004-Q4,60.2924
Austria,Females,2005-Q1,60.78429
Austria,Females,2005-Q2,60.86583
Austria,Females,2005-Q3,61.26971
Austria,Females,2005-Q4,61.42754
Austria,Females,2006-Q1,61.63373
Austria,Females,2006-Q2,62.11508
Austria,Females,2006-Q3,62.47164
Austria,Females,2006-Q4,62.72427
Austria,Females,2007-Q1,63.12338
Austria,Females,2007-Q2,63.06891
Austria,Females,2007-Q3,63.78801
Austria,Females,2007-Q4,64.00503
Austria,Females,2008-Q1,64.47566
Austria,Females,2008-Q2,64.81187
Austria,Females,2008-Q3,64.75829
Austria,Females,2008-Q4,65.18613
Austria,Females,2009-Q1,65.21938
Austria,Females,2009-Q2,65.4865
Austria,Females,2009-Q3,65.0357
Austria,Females,2009-Q4,65.06958
Austria,Females,2010-Q1,65.50333
Austria,Females,2010-Q2,65.6551
Austria,Females,2010-Q3,65.61572
Austria,Females,2010-Q4,65.86044
Austria,Females,2011-Q1,65.9155
Austria,Females,2011-Q2,66.16928
Austria,Females,2011-Q3,66.22141
Austria,Females,2011-Q4,65.90113
Austria,Females,2012-Q1,66.3198
Austria,Females,2012-Q2,66.79061
Austria,Females,2012-Q3,66.70955
Austria,Females,2012-Q4,66.78085
Austria,Females,2013-Q1,66.53692
Austria,Females,2013-Q2,67.32841
Austria,Females,2013-Q3,67.05776
Austria,Females,2013-Q4,66.56235
Austria,Females,2014-Q1,66.73672
Austria,Females,2014-Q2,67.63121
Austria,Females,2014-Q3,66.56777
Austria,Females,2014-Q4,66.86476
Austria,Females,2015-Q1,66.66397
Austria,Females,2015-Q2,67.10346
Austria,Females,2015-Q3,67.22233
Austria,Females,2015-Q4,67.34959
Austria,Females,2016-Q1,67.27444
Austria,Females,2016-Q2,67.79468
Austria,Females,2016-Q3,67.69753
Austria,Females,2016-Q4,67.86439
Austria,Females,2017-Q1,67.84869
Austria,Females,2017-Q2,68.47379
Austria,Females,2017-Q3,67.96189
Austria,Females,2017-Q4,68.39215
Austria,Females,2018-Q1,68.34438
Austria,Females,2018-Q2,68.72948
Austria,Females,2018-Q3,68.44843
Austria,Females,2018-Q4,68.80582
Austria,Females,2019-Q1,69.09918
Austria,Females,2019-Q2,69.17453
Austria,Females,2019-Q3,68.97929
Austria,Females,2019-Q4,69.35973
Austria,Females,2020-Q1,69.08656
Austria,Females,2020-Q2,65.35643
Austria,Females,2020-Q3,67.72955
Austria,Females,2020-Q4,67.45438
Austria,Females,2021-Q1,66.80695
Austria,Females,2021-Q2,67.59697
Austria,Females,2021-Q3,68.81552
Austria,Females,2021-Q4,69.30807
Austria,Females,2022-Q1,69.76669
Austria,Females,2022-Q2,70.32103
Austria,Females,2022-Q3,69.81251
Austria,Females,2022-Q4,70.13849
Austria,Females,2023-Q1,69.98406
Austria,Females,2023-Q2,70.6289
Austria,Females,2023-Q3,70.27625
Austria,Males,1999-Q1,77.79839
Austria,Males,1999-Q2,77.65541
Austria,Males,1999-Q3,77.52747
Austria,Males,1999-Q4,77.35621
Austria,Males,2000-Q1,77.42716
Austria,Males,2000-Q2,77.72909
Austria,Males,2000-Q3,77.24844
Austria,Males,2000-Q4,77.16162
Austria,Males,2001-Q1,76.97289
Austria,Males,2001-Q2,76.74937
Austria,Males,2001-Q3,76.7384
Austria,Males,2001-Q4,76.33543
Austria,Males,2002-Q1,76.53362
Austria,Males,2002-Q2,76.41495
Austria,Males,2002-Q3,76.18094
Austria,Males,2002-Q4,76.3317
Austria,Males,2003-Q1,76.82905
Austria,Males,2003-Q2,76.48826
Austria,Males,2003-Q3,75.98562
Austria,Males,2003-Q4,76.15865
Austria,Males,2004-Q1,73.46186
Austria,Males,2004-Q2,73.41311
Austria,Males,2004-Q3,73.33156
Austria,Males,2004-Q4,73.16494
Austria,Males,2005-Q1,73.40927
Austria,Males,2005-Q2,73.60732
Austria,Males,2005-Q3,73.97416
Austria,Males,2005-Q4,74.0005
Austria,Males,2006-Q1,74.26022
Austria,Males,2006-Q2,74.787
Austria,Males,2006-Q3,75.35406
Austria,Males,2006-Q4,75.3463
Austria,Males,2007-Q1,75.96011
Austria,Males,2007-Q2,76.28569
Austria,Males,2007-Q3,76.63689
Austria,Males,2007-Q4,76.38956
Austria,Males,2008-Q1,77.19424
Austria,Males,2008-Q2,77.20234
Austria,Males,2008-Q3,76.50848
Austria,Males,2008-Q4,76.4595
Austria,Males,2009-Q1,75.93143
Austria,Males,2009-Q2,75.45959
Austria,Males,2009-Q3,75.33084
Austria,Males,2009-Q4,75.41029
Austria,Males,2010-Q1,75.57204
Austria,Males,2010-Q2,75.77819
Austria,Males,2010-Q3,76.07003
Austria,Males,2010-Q4,76.40631
Austria,Males,2011-Q1,75.95103
Austria,Males,2011-Q2,76.27843
Austria,Males,2011-Q3,76.50903
Austria,Males,2011-Q4,76.07269
Austria,Males,2012-Q1,76.09183
Austria,Males,2012-Q2,76.53637
Austria,Males,2012-Q3,76.19591
Austria,Males,2012-Q4,76.04329
Austria,Males,2013-Q1,75.97025
Austria,Males,2013-Q2,76.33958
Austria,Males,2013-Q3,75.96857
Austria,Males,2013-Q4,75.73676
Austria,Males,2014-Q1,75.2058
Austria,Males,2014-Q2,75.28527
Austria,Males,2014-Q3,75.34627
Austria,Males,2014-Q4,75.16892
Austria,Males,2015-Q1,75.40659
Austria,Males,2015-Q2,75.0101
Austria,Males,2015-Q3,75.08044
Austria,Males,2015-Q4,75.09979
Austria,Males,2016-Q1,75.16994
Austria,Males,2016-Q2,75.31403
Austria,Males,2016-Q3,75.60511
Austria,Males,2016-Q4,75.56485
Austria,Males,2017-Q1,75.63497
Austria,Males,2017-Q2,76.24717
Austria,Males,2017-Q3,76.05332
Austria,Males,2017-Q4,76.69344
Austria,Males,2018-Q1,77.03607
Austria,Males,2018-Q2,77.76324
